career_id,skill_tag,required_level
1,python_basics,basic
1,python_oop,basic
1,django_basics,basic
2,python_basics,intermediate
2,python_oop,intermediate
2,django_basics,intermediate
2,django_orm,basic
2,api_basics,basic
3,python_basics,intermediate
3,api_basics,intermediate
3,django_basics,basic
3,django_orm,basic
3,production_backend,basic
4,python_basics,intermediate
4,python_oop,intermediate
4,django_basics,intermediate
4,django_orm,intermediate
4,django_auth,basic
4,django_advanced,basic
5,python_basics,advanced
5,python_oop,advanced
5,python_advanced,intermediate
5,django_basics,advanced
5,django_orm,advanced
5,django_auth,intermediate
5,django_advanced,intermediate
5,api_basics,advanced
5,production_backend,intermediate
