"city_id","name","state_id","name"
1,Agra,4,Bihar
1,Agra,15,Maharashtra
1,Agra,22,Rajasthan
1,Agra,28,Uttar Pradesh
1,Agra,29,West Bengal
2,Ahmedabad,7,Gujarat
2,Ahmedabad,21,Punjab
2,Ahmedabad,28,Uttar Pradesh
3,Ahmednagar,15,Maharashtra
3,Ahmednagar,25,Telangana
4,Ajmer,7,Gujarat
4,Ajmer,21,Punjab
4,Ajmer,22,Rajasthan
4,Ajmer,28,Uttar Pradesh
5,Akola,5,Chhattisgarh
5,Akola,15,Maharashtra
5,Akola,22,Rajasthan
5,Akola,28,Uttar Pradesh
5,Akola,95,New South Wales
6,Alappuzha,13,Kerala
7,Allahabad,8,Haryana
7,Allahabad,28,Uttar Pradesh
7,Allahabad,206,Aosta
8,Ambala,7,Gujarat
8,Ambala,8,Haryana
8,Ambala,25,Telangana
9,Amravati,5,Chhattisgarh
9,Amravati,12,Karnataka
9,Amravati,15,Maharashtra
10,Amritsar,8,Haryana
10,Amritsar,21,Punjab
11,Anand,7,Gujarat
12,Anantapur,1,Andhra Pradesh
12,Anantapur,12,Karnataka
12,Anantapur,20,Odisha
12,Anantapur,29,West Bengal
13,Ariyalur,24,Tamil Nadu
14,Aurangabad,4,Bihar
14,Aurangabad,8,Haryana
14,Aurangabad,15,Maharashtra
14,Aurangabad,28,Uttar Pradesh
14,Aurangabad,29,West Bengal
14,Aurangabad,95,New South Wales
15,Balasore,20,Odisha
16,Banswara,22,Rajasthan
16,Banswara,27,Uttarakhand
17,Bathinda,21,Punjab
18,Begusarai,4,Bihar
18,Begusarai,178,Yukon
19,Belgaum,12,Karnataka
19,Belgaum,146,Lampung
20,Bhagalpur,4,Bihar
20,Bhagalpur,11,Jharkhand
20,Bhagalpur,29,West Bengal
21,Bharatpur,22,Rajasthan
21,Bharatpur,27,Uttarakhand
21,Bharatpur,28,Uttar Pradesh
21,Bharatpur,29,West Bengal
21,Bharatpur,43,Delhi NCR
21,Bharatpur,50,Connecticut
22,Bharuch,7,Gujarat
23,Bhilwara,8,Haryana
23,Bhilwara,22,Rajasthan
24,Bhiwani,8,Haryana
24,Bhiwani,43,Delhi NCR
25,Bhopal,14,Madhya Pradesh
25,Bhopal,20,Odisha
25,Bhopal,104,Berlin
26,Bidar,12,Karnataka
26,Bidar,22,Rajasthan
27,Bikaner,8,Haryana
27,Bikaner,22,Rajasthan
28,Bilaspur,5,Chhattisgarh
28,Bilaspur,8,Haryana
28,Bilaspur,9,Himachal Pradesh
28,Bilaspur,21,Punjab
28,Bilaspur,28,Uttar Pradesh
28,Bilaspur,78,New York
29,Bulandshahr,28,Uttar Pradesh
29,Bulandshahr,43,Delhi NCR
30,Chandigarh,8,Haryana
30,Chandigarh,20,Odisha
30,Chandigarh,21,Punjab
30,Chandigarh,22,Rajasthan
30,Chandigarh,29,West Bengal
30,Chandigarh,31,Chandigarh
30,Chandigarh,42,Chandigarh Tricity
31,Chennai,24,Tamil Nadu
32,Coimbatore,24,Tamil Nadu
33,Cuttack,20,Odisha
34,Darjeeling,29,West Bengal
35,Davanagere,12,Karnataka
36,Dehradun,27,Uttarakhand
37,Dhanbad,7,Gujarat
37,Dhanbad,11,Jharkhand
37,Dhanbad,28,Uttar Pradesh
38,Dharwad,12,Karnataka
39,Dibrugarh,3,Assam
40,Dimapur,3,Assam
40,Dimapur,19,Nagaland
41,Dindigul,24,Tamil Nadu
42,Durg,5,Chhattisgarh
42,Durg,12,Karnataka
42,Durg,78,New York
43,Ernakulam,13,Kerala
44,Faridabad,8,Haryana
44,Faridabad,28,Uttar Pradesh
44,Faridabad,34,Delhi
44,Faridabad,43,Delhi NCR
45,Faridkot,21,Punjab
46,Fatehgarh Sahib,21,Punjab
47,Gandhinagar,7,Gujarat
