course_id,skill_tag,coverage_level
1,python_basics,intermediate
1,python_oop,basic
2,django_basics,intermediate
2,python_basics,basic
2,django_orm,basic
3,api_basics,intermediate
3,django_basics,basic
3,django_orm,basic
4,django_orm,advanced
4,django_basics,intermediate
4,production_backend,basic
5,python_oop,advanced
5,python_advanced,intermediate
5,python_basics,intermediate
6,api_basics,advanced
6,django_auth,intermediate
6,production_backend,basic
7,production_backend,advanced
7,django_orm,advanced
7,django_advanced,intermediate
8,python_basics,intermediate
8,python_oop,intermediate
8,django_basics,intermediate
8,django_orm,intermediate
8,api_basics,intermediate
8,production_backend,basic
9,django_advanced,advanced
9,django_basics,advanced
9,django_orm,intermediate
10,django_orm,advanced
10,production_backend,intermediate
10,django_basics,intermediate
