degree_name,career_title
B.A.,Business Development Executive
B.A.,Content Writer
B.A.,Operation Executive
B.A.,Human Resource Executive
B.A.,Data Analysis
B.Com,Business Development Executive
B.Com,Content Writer
B.Com,Operation Executive
B.Com,Human Resource Executive
B.Com,Data Analysis
B.B.A,Business Development Executive
B.B.A,Operation Executive
B.B.A,Human Resource Executive
B.B.A,Data Analysis
B.B.A,Content Writer
MBA,Business Development Executive
MBA,Operation Executive
MBA,Human Resource Executive
MBA,Data Analysis
MBA,Content Writer
B.Sc.,Business Development Executive
B.Sc.,Content Writer
B.Sc.,Operation Executive
B.Sc.,Human Resource Executive
B.Sc.,Data Analysis
M.Sc.,Business Development Executive
M.Sc.,Content Writer
M.Sc.,Operation Executive
M.Sc.,Human Resource Executive
M.Sc.,Data Analysis
B.Stat,Data Analysis
B.Stat,Business Development Executive
M.Stat,Data Analysis
M.Stat,Business Development Executive
B.C.A.,Software Engineer (Frontend)
B.C.A.,Software Engineer (Backend)
B.C.A.,QA Engineer
B.C.A.,Data Analysis
B.C.A.,Business Development Executive
M.C.A.,Software Engineer (Frontend)
M.C.A.,Software Engineer (Backend)
M.C.A.,QA Engineer
M.C.A.,Data Analysis
M.C.A.,Business Development Executive
B.E,Software Engineer (Frontend)
B.E,Software Engineer (Backend)
B.E,QA Engineer
B.E,Data Analysis
B.E,Business Development Executive
B.Tech,Software Engineer (Frontend)
B.Tech,Software Engineer (Backend)
B.Tech,QA Engineer
B.Tech,Data Analysis
B.Tech,Business Development Executive
M.Tech,Software Engineer (Backend)
M.Tech,QA Engineer
M.Tech,Data Analysis
M.Tech,Business Development Executive
B.Des,Operation Executive
B.Des,Business Development Executive
B.Des,Human Resource Executive
M.Des,Operation Executive
M.Des,Business Development Executive
M.Des,Human Resource Executive
B.Ed.,Human Resource Executive
B.Ed.,Business Development Executive
B.Ed.,Content Writer
B.Ed.,Operation Executive
M.Ed.,Human Resource Executive
M.Ed.,Business Development Executive
M.Ed.,Content Writer
M.Ed.,Operation Executive
L.L.B,Human Resource Executive
L.L.B,Content Writer
L.L.B,Business Development Executive
L.L.B,Operation Executive
M.S.W.,Human Resource Executive
M.S.W.,Business Development Executive
M.S.W.,Content Writer
M.S.W.,Operation Executive
B.S.W.,Human Resource Executive
B.S.W.,Business Development Executive
B.S.W.,Content Writer
B.S.W.,Operation Executive
B.J.,Content Writer
B.J.,Business Development Executive
B.J.,Operation Executive
M.J.,Content Writer
M.J.,Business Development Executive
M.J.,Operation Executive
B.M.M.,Content Writer
B.M.M.,Business Development Executive
B.M.M.,Operation Executive
B.Agri,Operation Executive
B.Agri,Data Analysis
B.Agri,Business Development Executive
B.Agri,Content Writer
Ph.D,Data Analysis
Ph.D,Content Writer
Ph.D,Business Development Executive
Ph.D,Operation Executive
