name,full_name,category,is_tech
Diploma,Diploma,Vocational & Diploma,0
B.A.,Bachelor of Arts,Arts & Humanities,0
B.A.(Hons),Bachelor of Arts (Honours),Arts & Humanities,0
M.A.,Master of Arts,Arts & Humanities,0
B.Com,Bachelor of Commerce,Commerce & Management,0
B.Com(Hons),Bachelor of Commerce (Honours),Commerce & Management,0
M.Com,Master of Commerce,Commerce & Management,0
MBA,Master of Business Administration,Commerce & Management,0
Executive MBA,Executive Master of Business Administration,Commerce & Management,0
B.B.A,Bachelor of Business Administration,Commerce & Management,0
B.M.S,Bachelor of Management Studies,Commerce & Management,0
M.M.S,Master of Management Studies,Commerce & Management,0
B.Sc.,Bachelor of Science,Science,0
B.Sc.(Hons),Bachelor of Science (Honours),Science,0
M.Sc.,Master of Science,Science,0
B.Stat,Bachelor of Statistics,Science,0
M.Stat,Master of Statistics,Science,0
B.E,Bachelor of Engineering,Engineering & Technology,1
B.Tech,Bachelor of Technology,Engineering & Technology,1
M.E,Master of Engineering,Engineering & Technology,1
M.Tech,Master of Technology,Engineering & Technology,1
B.Arch,Bachelor of Architecture,Design & Architecture,0
M.Arch,Master of Architecture,Design & Architecture,0
B.Des,Bachelor of Design,Design & Architecture,0
M.Des,Master of Design,Design & Architecture,0
B.C.A.,Bachelor of Computer Applications,Computer & IT,1
M.C.A.,Master of Computer Applications,Computer & IT,1
B.Tech M.Tech,Bachelor and Master of Technology,Engineering & Technology,1
B.Tech MBA,Bachelor of Technology and MBA,Engineering & Technology,1
B.Ed.,Bachelor of Education,Education,0
M.Ed.,Master of Education,Education,0
B.El.Ed.,Bachelor of Elementary Education,Education,0
L.L.B,Bachelor of Laws,Law,0
L.L.M,Master of Laws,Law,0
B.A. L.L.B,Bachelor of Arts and Laws,Law,0
B.Com.L.L.B,Bachelor of Commerce and Laws,Law,0
M.B.B.S.,Bachelor of Medicine and Bachelor of Surgery,Medical & Health Sciences,0
M.D.,Doctor of Medicine,Medical & Health Sciences,0
B.D.S.,Bachelor of Dental Surgery,Medical & Health Sciences,0
M.D.S.,Master of Dental Surgery,Medical & Health Sciences,0
B.P.T.,Bachelor of Physiotherapy,Medical & Health Sciences,0
M.P.T.,Master of Physiotherapy,Medical & Health Sciences,0
B.Pharma,Bachelor of Pharmacy,Pharmacy,0
M.Pharma,Master of Pharmacy,Pharmacy,0
Pharm.D,Doctor of Pharmacy,Pharmacy,0
B.J.,Bachelor of Journalism,Journalism & Media,0
M.J.,Master of Journalism,Journalism & Media,0
B.M.M.,Bachelor of Mass Media,Journalism & Media,0
M.S.W.,Master of Social Work,Social Work,0
B.S.W.,Bachelor of Social Work,Social Work,0
B.Agri,Bachelor of Agriculture,Agriculture & Allied Sciences,0
B.V.Sc.,Bachelor of Veterinary Science,Agriculture & Allied Sciences,0
Ph.D,Doctor of Philosophy,Research & Doctorate,0
M.Phil.,Master of Philosophy,Research & Doctorate,0
D.Litt,Doctor of Literature,Research & Doctorate,0
